file,loc,functions,classes,category
src/python/tsv/exceptions.py,22,0,3,product_runtime
src/python/tsv/models.py,232,33,1,product_runtime
src/python/tsv/spec/__init__.py,5,0,0,product_runtime
src/python/tsv/spec/record/__init__.py,5,0,0,product_runtime
src/python/tsv/spec/record/field.py,33,4,1,product_runtime
src/python/tsv/spec/record/record.py,42,6,1,product_runtime
src/python/tsv/spec/record/row.py,17,0,1,product_runtime
src/python/tsv/tabular_document.py,851,61,0,product_runtime
src/python/tsv/tsv_field_iterator.py,34,1,0,product_runtime
src/python/tsv/tsv_parser.py,818,42,4,product_runtime
src/python/tsv/tsv_row_iterator.py,32,1,0,product_runtime
src/python/tsv/tsv_workflow.py,37,1,0,product_runtime
src/python/xcf/__init__.py,37,0,0,product_runtime
src/python/xcf/Compat/__init__.py,10,0,0,product_runtime
src/python/xcf/Compat/xcf_channel.py,10,0,1,product_runtime
src/python/xcf/Compat/xcf_header.py,10,0,1,product_runtime
src/python/xcf/Compat/xcf_layer.py,10,0,1,product_runtime
src/python/xcf/exceptions.py,22,0,3,product_runtime
src/python/xcf/image_document.py,50,1,1,product_runtime
src/python/xcf/models.py,216,31,1,product_runtime
src/python/xcf/spec/__init__.py,5,0,0,product_runtime
src/python/xcf/spec/layer/__init__.py,5,0,0,product_runtime
src/python/xcf/spec/layer/channel.py,51,8,1,product_runtime
src/python/xcf/spec/layer/header.py,52,8,1,product_runtime
src/python/xcf/spec/layer/layer.py,50,8,1,product_runtime
src/python/xcf/xcf_image_metrics.py,898,104,0,product_runtime
src/python/xcf/xcf_layer_iterator.py,34,1,0,product_runtime
src/python/xcf/xcf_parser.py,288,8,6,product_runtime
src/python/xcf/xcf_workflow.py,25,1,0,product_runtime
src/python/zst/__init__.py,93,0,0,product_runtime
src/python/zst/Compat/__init__.py,10,0,0,product_runtime
src/python/zst/Compat/zst_block.py,10,0,1,product_runtime
src/python/zst/Compat/zst_frame.py,10,0,1,product_runtime
src/python/zst/compressed_stream.py,120,9,0,product_runtime
src/python/zst/compression_metrics.py,651,54,0,product_runtime
src/python/zst/exceptions.py,22,0,3,product_runtime
src/python/zst/models.py,212,27,1,product_runtime
src/python/zst/spec/__init__.py,5,0,0,product_runtime
src/python/zst/spec/frame/__init__.py,5,0,0,product_runtime
src/python/zst/spec/frame/block.py,48,6,1,product_runtime
src/python/zst/spec/frame/frame.py,53,7,1,product_runtime
src/python/zst/spec/frame/magic_number.py,22,0,1,product_runtime
src/python/zst/zst_codec.py,1073,25,7,product_runtime
src/python/zst/zst_frame_inspector.py,31,1,0,product_runtime
src/python/zst/zst_workflow.py,36,1,0,product_runtime
src/net/csv/CsvDocument.cs,286,0,0,product_runtime
src/net/csv/CsvDocumentAnalytics.cs,633,0,0,product_runtime
src/net/csv/CsvReader.cs,175,0,0,product_runtime
src/net/csv/CsvWriter.cs,185,0,0,product_runtime
